ticker_id,item_id,status,Ticker
6687,7237,1,BOCS
6688,7237,1,BSTGF
138272,1815361,1,UN01
6700,7258,1,BYGRF
6645,39966,0,WY2
6668,39992,0,B8O
6692,40017,1,YMFS
6721,40064,1,YYBKY
6763,7360,1,BRIGADE
6733,7327,1,5DA
6734,7327,1,BTKGF
6740,40101,1,YGEN
6747,40107,1,YIPCF
6748,40107,1,YIJ
138273,1794031,1,DIPI
138274,1794039,1,FLEXI
138275,1794048,1,INDIGO
138276,1794055,1,VRLL
138277,1794065,1,MIDL
138278,1794066,1,RATI
138280,1794068,1,POWM
138281,1794073,1,AHLU
6808,40169,0,YOKUy
6765,40130,1,YOMA
6766,40130,1,YMAIF
6768,40130,1,O3B
6741,40101,0,YG11
6720,40064,1,YESBANK
6711,7277,1,BMEC
6778,7371,1,0BX
6786,7383,1,BCAUY
6793,40158,1,YXP
6804,40169,1,YOKU
6805,40169,1,YOKUN
6807,40169,1,YU4
6817,7414,1,BCIL
6836,40218,1,YPCLol
6838,40218,1,GUAZY
6785,7383,0,CBA
6841,40219,1,GZITF
6850,7460,1,BI5
6852,7460,1,BRTHF
6896,40282,1,YXGC
6901,40286,1,YY
6887,40275,0,YV5
6909,7526,1,B61
6910,7526,1,BSES
6924,40332,1,ZEEEY
6928,7570,1,WLM
6939,40353,1,ZHC
6955,7602,1,BYDIF
6956,7602,1,BYDIY
6962,7614,1,CCLHY
6975,40396,1,ZHAOF
6983,7633,1,CPKPF
6984,7633,1,CPKPY
7008,7657,1,CACHE
7019,7666,1,CADILAHC
7020,7666,1,CDLYY
6976,40396,0,ZVL
6982,7633,0,CPQA
6966,40387,1,ZFSG
7042,7686,1,CWNQY
7085,7731,1,CALSOFT
7041,7686,1,CAIRN
7112,40525,1,ZZCMF
7135,7778,1,CREIT
7136,7778,1,CGIUF
7221,7921,1,CF9
7111,40525,0,ZGC
7167,40573,1,ZHUZY
7168,40573,1,ZHUZF
7186,7848,1,CNRYY
7197,40647,1,ZSTN
7216,7909,1,CCOEF
7165,40573,0,ZTX
7180,40586,0,ZGE
7215,7909,0,CPK
7223,7930,1,CILLF
7225,7930,1,C8D
7249,7993,1,CRMGF
83397,100,1,DRRiv
7276,8192,1,CSLQY
7285,8267,1,CCX
7247,7990,0,OYK
7271,8156,0,CFNB
7298,8291,1,CDREIT
7299,8291,1,CDHSF
7307,8298,1,CEATLTD
7318,8326,1,CIRKIT
7336,8425,1,CNQNF
7345,8448,1,DF6
7349,8465,1,CENEF
7351,8465,1,CRN
7335,8424,0,AJ5
7337,8425,0,21C
7368,8495,1,CUTLF
7360,8481,1,CENTEXT
7398,8590,1,CNCIF
83398,100,1,DRR
7405,8601,1,CMGLF
7407,8601,1,W8R
7355,8472,1,C21P
7364,8492,1,CENTURYPLY
7386,8548,1,CGVSE
7400,8593,1,CHANDNI
7425,8622,1,CAON
7429,8626,1,CNC
7432,8629,1,CYOU
83399,100,1,MSNL
7434,8629,1,CYOUy
7448,8641,1,CMGHF
7452,8642,1,CWWGF
7457,39671,1,WUMSY
7458,39671,1,WUMB
7449,8641,0,CHA
7510,8788,1,CKISY
7511,8788,1,CKISF
7515,8791,1,CHVLY
7500,8762,1,MRL
